Author,Number of List Appearances - Author,Genre
Robert James Waller ,7,Fiction
Robert Jobs on,1,Non-fiction
Robert Jones Jr,1,Fiction
Robert Jordan,71,Fiction
Robert Jordan and Brando n Sanderson,4,Fiction
Robert Jordan and Brandon  Sanderson,6,Fiction
Robert Jordan and Brandon S anderson,8,Fiction
Robert Jordan and Brandon Sanderson,8,Fiction
Robert K. Massie,73,Non-fiction
Robert Kagan,10,Non-fiction
Robert Kirk man and Jay,2,Fiction
Robert Kolker,8,Non-fiction
Robert Kurson,12,Non-fiction
Robert L. Shapiro wit h Larkin Warren,1,Non-fiction
Robert L. Shapiro with  Larkin Warren,5,Non-fiction
Robert L. Taylor,2,Non-fiction
Robert LaGuardia,5,Non-fiction
Robert Lacey,44,Non-fiction
Robert Lekachman,1,Non-fiction
Robert Lenzner,12,Non-fiction
"Robert Lenzner. Crown, $18.9 5.) The life and loves of J",1,Non-fiction
Robert Lewis T aylor,18,Fiction
Robert Lewis Taylor,41,Fiction
Robert Ludlum,407,Fiction
Robert M. Bork,10,Non-fiction
Robert M. Edsel,1,Non-fiction
Robert M. Gates,10,Non-fiction
Robert M. Pirsig,7,Fiction
Robert M. Sapolsky,1,Non-fiction
Robert MacNeil,7,Non-fiction
Robert Manry,3,Non-fiction
"Robert McCrum, William C ran and Robert",7,Non-fiction
"Robert McCrum, William Cran and Robert",5,Non-fiction
Robert Morgan,13,Fiction
Robert Moss,7,Fiction
Robert Moss and Arnaud de Borchgrave,4,Fiction
Robert Moss and Arnaud de Borchgrave ,8,Fiction
Robert Nath an,1,Fiction
Robert Nathan,24,Fiction
Robert O'Brien,1,Non-fiction
Robert O'Neill,8,Non-fiction
Robert P . Jones,1,Non-fiction
Robert P. Kirsch,2,Fiction
Robert Payne,1,Non-fiction
Robert Penn Warren,63,Fiction
Robert Reynolds,9,Fiction
Robert Ringer,47,Non-fiction
Robert Ruark,116,Fiction
Robert Rylee,1,Fiction
Robert S. Allen,9,Non-fiction
Robert S. Allen and Willi am V. Shannon,9,Non-fiction
Robert S. Elegant,30,Fiction
Robert S. McNamara,1,Non-fiction
Robert S. McNamara with Brian V anDeMark,10,Non-fiction
Robert S. McNamara with Brian VanDeMark,2,Non-fiction
Robert Sherrod,2,Non-fiction
Robert St John,4,Non-fiction
Robert St. J ohn,8,Non-fiction
Robert St. John,1,Fiction
Robert Standish,7,Fiction
Robert Stone,12,Fiction
Robert Sullivan  and the editors of Life,2,Non-fiction
Robert T. Morris,2,Non-fiction
Robert Tallant,1,Fiction
Robert Townsend,37,Non-fiction
Robert Traver,74,Fiction
Robert Trumbull,2,Non-fiction
Robert Van Gelder,1,Fiction
Robert Wilder,74,Fiction
Robert Wright,11,Non-fiction
Robertson Davies,26,Fiction
Robin Cook,181,Fiction
Robin DiAngelo,1,Non-fiction
Robin Gaby Fisher,1,Non-fiction
Robin Hobb,3,Fiction
Robin Moore,37,Fiction
Robin Quivers,4,Non-fiction
Robin Roberts with  Veronica Chambers,1,Non-fiction
Robin Roberts with Veronica Chambers,4,Non-fiction
Robin White,7,Fiction
Robyn Crawford,1,Non-fiction
Rocco Mediate and John Fe instein,1,Non-fiction
Rock Hudson and Sara D avidson,13,Non-fiction
Rock Hudson and Sara Davidson,1,Non-fiction
Rod Dreher,2,Non-fiction
Rod McKuen,16,Non-fiction
Rod Stewart,3,Non-fiction
Roddy Doyle,1,Fiction
Roderick Thorp,14,Fiction
Roger Angell,10,Non-fiction
Roger Bennett,1,Non-fiction
Roger Butter field,16,Non-fiction
Roger Butterfield,21,Non-fiction
Roger Crowley,1,Non-fiction
Roger Ebert,1,Non-fiction
Roger Kahn,25,Non-fiction
Roger Lowenstein,11,Non-fiction
Roger McNamee,1,Non-fiction
Roger Morris,9,Non-fiction
Roger Penrose,13,Non-fiction
Roger Rosenblatt,1,Non-fiction
Roger Stern,5,Fiction
Roger Tory Peters on,10,Non-fiction
Roger Tory Peterso n,2,Non-fiction
Roger Tory Peterson and James Fish er,1,Non-fiction
Roger Touhy and Ray Brennan ,3,Non-fiction
Roger Vailland,4,Fiction
Roi Ottley,1,Non-fiction
Roland H. Bainton,1,Non-fiction
Rolf Hochhuth,9,Non-fiction
Rollo May,20,Non-fiction
Romain Gary,34,Fiction
Roman Mars and Kurt K ohlstedt,1,Non-fiction
Roman Mars and Kurt Ko hlstedt,1,Non-fiction
Romola Nijinsky,13,Non-fiction
Ron Burgundy,7,Non-fiction
Ron Chernow,51,Non-fiction
Ron DeSantis,7,Non-fiction
Ron Fournier,1,Non-fiction
Ron Howard and Clint Howard,4,Non-fiction
Ron Luciano and David Fisher,1,Non-fiction
Ron Luciano with Dav id Fisher,14,Non-fiction
Ron Luciano with Davi d Fisher,4,Non-fiction
Ron Miscavige with Dan Koon,1,Non-fiction
Ron Paul,15,Non-fiction
Ron Rash,1,Fiction
Ron Reagan,1,Non-fiction
Ron Rosenbaum,1,Non-fiction
Ron Suskind,32,Non-fiction
Ron White,1,Non-fiction
Ron ald Steel,1,Non-fiction
Rona Jaffe,52,Fiction
Ronald Brownstein,1,Non-fiction
Ronald C. White Jr,2,Non-fiction
Ronald Kes sler,1,Non-fiction
Ronald Kess ler,7,Non-fiction
Ronald Kessler,24,Non-fiction
Ronald Reagan,9,Non-fiction
Ronald Reagan. Edited by D ouglas Brinkley,7,Non-fiction
Ronald Reagan. Edited by Douglas Brinkley,1,Non-fiction
Ronan Farrow,16,Non-fiction
Ronda Rousey with Maria B urns Ortiz,4,Non-fiction
Ronda Rousey with Maria Burns Ortiz,1,Non-fiction
Ronen Bergman,1,Non-fiction
Ronnie D. Laing,3,Non-fiction
Rorke Denver and Ellis Henican,3,Non-fiction
Rory Feek,4,Non-fiction
Rosalind Erskine,7,Fiction
"Rosalind Russell, with Chr is Chase ",3,Non-fiction
Rosalynn Carter,18,Non-fiction
Rosamond Lehmann,33,Fiction
Rosamond Marshall,14,Fiction
Rosamunde Pilcher,110,Fiction
Rose Fitzgerald Kennedy,23,Non-fiction
Rose Macaulay,9,Fiction
Rose McGowan,1,Non-fiction
Rose Wilder Lane,3,Fiction
RoseMarie Terenzio,2,Non-fiction
RoseMarie Terenzio and Liz McNeil,3,Non-fiction
Roseanne Arnold,4,Non-fiction
Roseanne Barr,17,Non-fiction
Rosellen Brown,3,Fiction
Rosemary Altea,5,Non-fiction
Rosemary Sullivan,4,Non-fiction
Rosemary Sullivan ,3,Non-fiction
Rosie O'Donnell,8,Non-fiction
Rosie O’Donnell,2,Non-fiction
Rosie Walsh,4,Fiction
Ross Gay,2,Non-fiction
Ross King,1,Non-fiction
Ross Lockridge,29,Fiction
Ross MacDonald,20,Fiction
Ross Macdonald,17,Fiction
Rosser Reeves,9,Non-fiction
Roxane Gay,5,Non-fiction
Roxanne Pulitzer with Kat hleen Maxa,3,Non-fiction
Roxanne Pulitzer with Kath leen Maxa,9,Non-fiction
Roy Chapman Andrews,7,Non-fiction
Roy F. Baumeister and John Tierney,1,Non-fiction
Roy F. Baumeister and John Tierney ,1,Non-fiction
Roy Jenkins,4,Non-fiction
Roy Meredith,2,Non-fiction
Roy Wenzlick,1,Non-fiction
Roy Williams with Tim Crothers,1,Non-fiction
Royal Barry Wills,2,Non-fiction
RuNyx,8,Fiction
RuPaul,4,Non-fiction
Ruby Dixon,1,Fiction
Rubylea Hall,1,Fiction
Ruchir Sharma,1,Non-fiction
Rudolf Bing,2,Non-fiction
Rudolf Franz Flesch,37,Non-fiction
Rudolph W. Giuliani with Ken Kurs on,4,Non-fiction
Rudolph W. Giuliani with Ken Kurso n,21,Non-fiction
Rumaan Alam,5,Fiction
Rumer Godden,127,Fiction
Rumer Godden ,1,Fiction
Rupert Holmes,2,Fiction
Rush H. Limbaugh 3 d,53,Non-fiction
Rush H. Limbaugh 3d,17,Non-fiction
Rush Limbaugh w ith Kathryn Adams,5,Non-fiction
Rush Limbaugh wi th Kathryn Adams,2,Non-fiction
Russ Buettner and Susanne Craig,2,Non-fiction
Russell Baker,61,Non-fiction
Russell Brand,7,Non-fiction
Russell Janney,54,Fiction
Russell Lynes,1,Non-fiction
Russell Owen,1,Non-fiction
Rutger Bregman,1,Non-fiction
Ruth Bader Ginsburg with Mary H artnett and Wendy W,1,Non-fiction
Ruth Bader Ginsburg with Mary Ha rtnett and Wendy W,1,Non-fiction
Ruth Beebe Hill,30,Fiction
Ruth Chatterton,23,Fiction
Ruth E. Moore,6,Non-fiction
Ruth Gordon,2,Non-fiction
Ruth J. Simmons,1,Non-fiction
Ruth McKenney,9,Non-fiction
Ruth Montgomery,42,Non-fiction
Ruth Moore,16,Fiction
Ruth Randall,4,Non-fiction
Ruth Reichl,13,Non-fiction
Ruth Ware,55,Fiction
Ruthie Bolton,6,Non-fiction
Ryan White and Ann Marie Cunningham,2,Non-fiction
S ylvia Porter,1,Non-fiction
S. C. Gwynne,17,Non-fiction
S. Hurok and Ruth Goode,5,Non-fiction
S. J. Watson,2,Fiction
S. M. Lambert,1,Non-fiction
S. M. Stirling,4,Fiction
S. S. Van Dine,9,Fiction
S.A. Cosby,2,Fiction
S.J. Perelman,41,Non-fiction
S.N. Behrman,10,Non-fiction
Sabine Hossenfelder,1,Non-fiction
Sadeqa Johnson,2,Fiction
Sally Beauman,15,Fiction
Sally Bedell Smit h,1,Non-fiction
Sally Bedell Smith,9,Non-fiction
Sally Bedell Smith ,4,Non-fiction
Sally Carrighar,1,Non-fiction
Sally Field,8,Non-fiction
Sally Hepworth,3,Fiction
Sally Mann,2,Non-fiction
Sally Quinn,9,Fiction
Sally Rooney,23,Fiction
Sally Salminen,4,Fiction
Sally Stanford,2,Non-fiction
Salman,1,Fiction
Salman Rushdie,42,Fiction
Sam,1,Non-fiction
Sam Giancana and Chuck Giancana,10,Non-fiction
Sam Giancana and Chuck Giancana ,1,Non-fiction
Sam Harris,13,Non-fiction
Sam Heughan and Graham McTavish,1,Non-fiction
Sam Houston Johnson,1,Non-fiction
Sam Kashner and Nancy Schoenber ger,2,Non-fiction
Sam Kean,4,Non-fiction
Sam Keen,29,Non-fiction
Sam Levenson,83,Non-fiction
Sam Maggs,1,Fiction
Sam Smith,14,Non-fiction
Sam Walton with J ohn Huey,9,Non-fiction
Sam Walton with John Huey,5,Non-fiction
Sam Wasson,6,Non-fiction
Samantha Power,4,Non-fiction
Samantha Shann on,1,Fiction
Samantha Shannon,7,Fiction
Sammy Davis and Jane and Burt Boyar,23,Non-fiction
Sammy Hagar with Joel Selvin,6,Non-fiction
"Sampson Davis, George Jenkins and R ameck Hunt with Lisa",4,Non-fiction
Samue l Eliot,20,Non-fiction
Samuel Chamberlain,1,Non-fiction
Samuel Eliot  Morison,4,Non-fiction
Samuel Eliot Morison,21,Non-fiction
Samuel H. Adams,6,Fiction
Samuel Hop kins Adams,16,Non-fiction
Samuel Hopkins Adams,14,Fiction
Samuel Irving Rosenman,5,Non-fiction
Samuel Lubell,1,Non-fiction
Samuel Rogers,2,Fiction
Samuel Shellabarger,59,Fiction
Samuel Shellaburger,43,Fiction
Samuel Shellanbarger,26,Fiction
Sandra Brown,192,Fiction
Sandra Dallas,1,Fiction
Sandra Day O'Connor,1,Non-fiction
Sandra Day O’Connor and H. Alan Day,3,Non-fiction
"Sandy Weill and Judah S. Kraus haar (Warner, $32.) The",1,Non-fiction
Sanjay Gupta,1,Fiction
Santha Rama Rau,14,Fiction
Sara Bareilles,1,Non-fiction
Sara Gruen,22,Fiction
Sara Kasdan,1,Fiction
Sara Novic,1,Fiction
Sara Paretsky,30,Fiction
Sara Quin and Tegan Quin,1,Non-fiction
Sara Wolf,3,Fiction
Sara h Vowell,1,Non-fiction
Sarah A. Parker,1,Fiction
Sarah Addison A llen,1,Fiction
Sarah Addison Allen,12,Fiction
Sarah Bakewell,1,Non-fiction
Sarah Beth Durst,6,Fiction
Sarah Blake,10,Fiction
Sarah Bradford,5,Non-fiction
Sarah Dunant,13,Fiction
Sarah Dunant ,2,Fiction
Sarah Gainham,25,Fiction
Sarah Hepola,2,Non-fiction
Sarah Huckabee Sanders,3,Non-fiction
Sarah J. Maas,28,Fiction
Sarah Jen sen with Maynard,1,Non-fiction
Sarah Kendzior,1,Non-fiction
Sarah M. Broom,3,Non-fiction
Sarah McCammon,1,Non-fiction
Sarah Palin,20,Non-fiction
Sarah Pearse,7,Fiction
Sarah Penner,9,Fiction
Sarah Pinborough,1,Fiction
Sarah Silverman,4,Non-fiction
Sarah Vowell,9,Non-fiction
Sarah Waters,5,Fiction
Sarah and A. Elizabeth Delany  with Amy Hill Hearth,6,Non-fiction
Sarah and A. Elizabeth Delany with Amy Hill Hearth,22,Non-fiction
"Sarah, the Duchess of York, with Je ff Coplon",4,Non-fiction
"Sarah, the Duchess of York, with Jef f Coplon",3,Non-fiction
Satya Nadella with Greg Shaw and Jill Tracie Nichols,1,Non-fiction
Saul Alinsky,8,Non-fiction
Saul Bellow,138,Fiction
Sco tt Adams,3,Non-fiction
Scot t Adams,15,Non-fiction
Scott Adams,53,Non-fiction
Scott Anderson,7,Non-fiction
Scott Brown,3,Non-fiction
Scott Carpenter and Kris Stoever,1,Non-fiction
Scott Eyman,5,Non-fiction
Scott Galloway,4,Non-fiction
Scott Gottlieb,1,Non-fiction
Scott Harrison,2,Non-fiction
Scott Jurek with Steve Friedman,1,Non-fiction
Scott Kelly,10,Non-fiction
Scott Lang with  Rob Kutner,1,Fiction
Scott Mann,1,Non-fiction
Scott McClellan,10,Non-fiction
Scott O'Dell,4,Fiction
Scott O'Grady with Jeff Co plon,6,Non-fiction
Scott Patterson,1,Non-fiction
Scott Simon,1,Non-fiction
Scott Smith,6,Fiction
Scott Stossel,5,Non-fiction
Scott Turow,160,Fiction
Scott Weidensaul,1,Non-fiction
Scotty Bowers with Lionel Fried berg,2,Non-fiction
Sean Carro ll,1,Non-fiction
Sean Carroll,3,Non-fiction
Sean Hannity,37,Non-fiction
Sean Naylor,1,Non-fiction
Sean Payton and Ellis Henican,3,Non-fiction
Sean Spicer,1,Non-fiction
Sean Wilentz,1,Non-fiction
Sean Willia ms,2,Fiction
Sean Williams,4,Fiction
Sean Wilsey,3,Non-fiction
Sebastian Faulks,4,Fiction
Sebastian Junger,86,Non-fiction
Selena Roberts,2,Non-fiction
Selma Blair,2,Non-fiction
Sergeanne Golon,14,Fiction
Serj Tankian,1,Non-fiction
Seth Abramson,1,Non-fiction
Seth Casteel,2,Non-fiction
Seth Grahame -Smith,2,Fiction
Seth Grahame- Smith,5,Fiction
Seth Mnookin,2,Non-fiction
Seth Rogen,4,Non-fiction
Seth Wickersham,1,Non-fiction
Seymour M. Hersh,26,Non-fiction
Seymour Shubin,1,Fiction
Shana Alexander,11,Non-fiction
Shania Twain,3,Non-fiction
Shannon Cha kraborty,1,Fiction
Shaquille O'Neal,1,Non-fiction
Shaquille O'Neal with Jackie MacM ullan,1,Non-fiction
Shari Lapena,12,Fiction
Sharon J. Wohlmuth and Carol Sa line,2,Non-fiction
Sharon Kay Penman,2,Fiction
Sharon McMahon,5,Non-fiction
Sharon Rocha,7,Non-fiction
Sharon Stone,1,Non-fiction
Sharyl Attkisson,3,Non-fiction
Shaun King,1,Non-fiction
Shawn DuBravac,1,Non-fiction
Shawn Levy,2,Non-fiction
Sheelah Kolhatkar,1,Non-fiction
Sheera Frenkel and Cecilia Kan g,1,Non-fiction
Sheila Burnford,39,Fiction
Sheila Nevins,1,Non-fiction
Sheila Weller,12,Non-fiction
Sheilah Graham and Gerold Fr ank,3,Non-fiction
Sheilah Graham and Gerold Fra nk,1,Non-fiction
Shel  Silverstein,3,Non-fiction
Shel Silverstein,208,Non-fiction
Shelby Steele,1,Non-fiction
Shelby Van Pelt,56,Fiction
Shell Silverstein,1,Non-fiction
Shelley Mydans,20,Fiction
Shelley Winte rs,4,Non-fiction
Shelley Winter s,16,Non-fiction
Shelley Winters,5,Non-fiction
Shelly  Brady,2,Non-fiction
Shere Hite,30,Non-fiction
Shere Hite ,6,Non-fiction
Sheri Fink,3,Non-fiction
Sherman Adams,12,Non-fiction
Sherman Al exie,5,Non-fiction
Sherrilyn Kenyon,26,Fiction
Sherry Sontag and Christop her Drew with Annette,3,Non-fiction
Sherry Sontag and Christoph er Drew with Annette,18,Non-fiction
Sherwin B. Nuland,17,Non-fiction
Sheryl Sandberg and Adam Grant,22,Non-fiction
Sheryl Sandberg with Nell Scovell,73,Non-fiction
Shintaro Ishihara,7,Non-fiction
Shirley Barker,6,Fiction
Shirley Conran,13,Fiction
Shirley Hazzard,1,Fiction
Shirley J ackson,9,Fiction
Shirley Ja ckson,2,Fiction
Shirley Jackson,11,Non-fiction
Shirley Jones with Wendy Leigh,2,Non-fiction
Shirley MacLaine,80,Non-fiction
Shirley Seifert,3,Fiction
Shirley Temple Black,20,Non-fiction
Sholem Asch,143,Fiction
Sholom Aleichem,8,Fiction
Shonda Schilling,1,Non-fiction
Si Robertson with Mark Schlabach,12,Non-fiction
Si Robertson with Mark Schlabach ,5,Non-fiction
Siddharth Kara,1,Non-fiction
Siddhartha Mukhe rjee,6,Non-fiction
Siddhartha Mukherjee,19,Non-fiction
Sidney Biddle Barrows with W illiam Novak,1,Non-fiction
Sidney Blumenthal,4,Non-fiction
Sidney D. Kirkpatrick,12,Non-fiction
Sidney Poitier,6,Non-fiction
Sidney Sheldon,342,Fiction
Sidney Sheldon ,1,Fiction
Sigmund Freud,1,Non-fiction
Sigrid Undset,1,Non-fiction
Sigurd F. Olson,1,Non-fiction
Silvia Moreno- Garcia,1,Fiction
Silvia Moreno-Garcia,9,Fiction
Simcha Jacobovici and C harles Pellegrino,1,Non-fiction
Simcha Jacobovici and Charles Pellegrino,1,Non-fiction
Simon Garfield,2,Non-fiction
Simon Johnson and James Kwak,5,Non-fiction
Simon Reeve,4,Non-fiction
Simon Schama,21,Non-fiction
Simon Sebag Montefiore,5,Non-fiction
Simon Shuster,1,Non-fiction
Simon Singh,1,Non-fiction
Simon Winch ester,2,Non-fiction
Simon Winches ter,2,Non-fiction
Simon Winchest er,6,Non-fiction
Simon Wincheste r,9,Non-fiction
Simon Winchester,10,Non-fiction
Simon Winchester ,18,Non-fiction
Simone St. James,2,Fiction
Simone de Beauvoir,31,Fiction
Simu Liu,1,Non-fiction
Sinclair Lewis,99,Fiction
Sinead O’Connor,1,Non-fiction
Sir Arthur Salter,7,Non-fiction
Sir John Hunt,17,Non-fiction
Sir Nevile Henderson,10,Non-fiction
Sir William Rothens tein,1,Non-fiction
Sister Jean Dolores Sc hmidt with Seth Davis,3,Non-fiction
Sister Jean Dolores Sch midt with Seth Davis,1,Non-fiction
Sister Soul jah,1,Fiction
Sister Souljah,12,Fiction
Slash with Anthony Bozza,7,Non-fiction
Slim Keith with Annette Tapert,1,Non-fiction
Sloan Wilson,76,Fiction
Sloane Crosley,2,Non-fiction
Smiley Blanton,43,Non-fiction
Somerset Maugham,55,Fiction
Sonia Purnell,3,Non-fiction
Sonia Sotomayor,14,Non-fiction
Sonny Bono,3,Non-fiction
Sonya Friedman,3,Non-fiction
Sophie Hannah,2,Fiction
Sophie Kinsella,41,Fiction
Sparky Lyle and Peter Golenboc k,7,Non-fiction
Sparky Lyle and Peter Golenbock ,22,Non-fiction
Spencer Henry and Madison Reyes w ith Allie Kingsley Baker,1,Non-fiction
Spencer Quinn,2,Fiction
Spiro T. Agnew,6,Fiction
St ephen Davis,6,Non-fiction
Stacey Abrams,8,Fiction
Stacey O’Brien,1,Non-fiction
Stacy Schiff,44,Non-fiction
Stacy Willingham,1,Fiction
Stanley Fitzge rald Horn,2,Non-fiction
Stanley Karnow,17,Non-fiction
Stanley Loomis,6,Non-fiction
Stanley Marcus,4,Non-fiction
Stanley McChrystal,3,Non-fiction
Stanley Pottinger,3,Fiction
Stanley Tucci,22,Non-fiction
Stanley Walker,10,Non-fiction
Stanton D elaplane,6,Non-fiction
Stanton Delaplane,8,Non-fiction
Stanton Griffis,1,Non-fiction
Stark Young,12,Fiction
Ste phen Davis,4,Non-fiction
Stefan Heym,12,Fiction
Stefan Kanfer,1,Non-fiction
Stefan Zweig,13,Non-fiction
Stefan Zweig (Viking.) -- 1,1,Non-fiction
Stefan Zweig (Viking.) 2 2,1,Non-fiction
Stefan Zweig (Viking.) 2 5,1,Non-fiction
Stefan Zweig (Viking.) 2 6,1,Non-fiction
Stefan Zweig (Viking.) 3 10,1,Non-fiction
Step hen King,1,Fiction
Steph Catudal,1,Non-fiction
Stephan Zweig,12,Non-fiction
Stephanie Brush,2,Non-fiction
Stephanie Danler,5,Fiction
Stephanie Grisha m,1,Non-fiction
Stephanie Johnson and Brandon Stant on,1,Non-fiction
Stephanie Kelton,1,Non-fiction
Stephanie Land,5,Non-fiction
Stephanie Laurens,10,Fiction
Stephanie Madoff Mack,1,Non-fiction
Stephanie Meyer,6,Fiction
Stephanie Nielson,1,Non-fiction
Stephanie Winston Wolkoff,3,Non-fiction
Stephen,47,Non-fiction
Stephen A. Smith,5,Non-fiction
Stephen Becker,10,Fiction
Stephen Birmingham,81,Non-fiction
Stephen Breyer,5,Non-fiction
Stephen C. Meyer,1,Non-fiction
Stephen Chbosky,2,Fiction
"Stephen Colbe rt, Richard Dahm, Paul",4,Non-fiction
Stephen Colber t et al,1,Non-fiction
"Stephen Colber t, Richard Dahm, Paul",24,Non-fiction
"Stephen Colbert, Richard Dahm,  Paul Dinello, Barry Julien,",2,Non-fiction
"Stephen Colbert, Richard Dahm, Paul Dinello, Barry Julien,",11,Non-fiction
"Stephen Colbert, Richard Dahm, Paul Dinello, Barry Julien, Tom",2,Non-fiction
Stephen Coonts,70,Fiction
Stephen Davis,1,Non-fiction
Stephen E. Ambr ose,4,Non-fiction
Stephen E. Ambro se,23,Non-fiction
Stephen E. Ambrose,112,Non-fiction
Stephen Galloway,1,Non-fiction
Stephen Greenblatt,14,Non-fiction
Stephen H awking,3,Non-fiction
Stephen Ha wking,11,Non-fiction
Stephen Harrigan,1,Fiction
Stephen Hawki ng,3,Non-fiction
Stephen Hawking,20,Non-fiction
Stephen Hawking and Leonard  Mlodinow,4,Non-fiction
Stephen Hawking and Leonard Mlodinow,4,Non-fiction
Stephen Hunter,17,Fiction
Stephen J. Bonsal,3,Non-fiction
Stephen Jay Gould,13,Non-fiction
Stephen King,997,Fiction
Stephen King and Owen King,7,Fiction
Stephen King and Owen King ,7,Fiction
Stephen King and Peter Straub,38,Fiction
Stephen King and Richard  Chizmar,3,Fiction
Stephen King and Richard Chizmar,1,Fiction
Stephen L. Carter,13,Fiction
Stephen Leacock,1,Non-fiction
Stephen Longstreet,2,Fiction
Stephen P. Barry,1,Non-fiction
"Stephen Pizzo, Mary Fricker and P aul Muolo",4,Non-fiction
"Stephen Pizzo, Mary Fricker and Pa ul Muolo",2,Non-fiction
Stephen Potter,8,Non-fiction
Stephen Prothero,3,Non-fiction
Stephen R. Donalds on,1,Fiction
Stephen R. Donaldso n,4,Fiction
Stephen R. Donaldson,49,Fiction
Stephen Sondheim,1,Non-fiction
Stephen Vincent Benet,5,Non-fiction
Stephen Vladeck,2,Non-fiction
Stephen W. Hawking,112,Non-fiction
Stephen White,5,Fiction
Stephenie Meyer,66,Fiction
Sterling  Seagrave,1,Non-fiction
Sterling Hayden,10,Fiction
Sterling North,29,Non-fiction
Sterling Quinlan,1,Fiction
Sterling Seagrave,13,Non-fiction
Steve Benen,2,Non-fiction
Steve Berry,56,Fiction
"Steve Berry, (Minotaur.) In th e 12th Cotton Malone thriller,",2,Fiction
Steve Case,5,Non-fiction
Steve Coll,13,Non-fiction
Steve Doocy,10,Non-fiction
Steve Hamilton ,1,Fiction
Steve Hodel,2,Non-fiction
Steve Inskeep,1,Non-fiction
Steve Lopez,1,Non-fiction
Steve Martin,86,Non-fiction
Steve Martini,47,Fiction
Steve Perry,6,Fiction
Steve Poizner,1,Non-fiction
Steve Shagan,8,Fiction
Steve Silberman,3,Non-fiction
Steve Thomas with Don,4,Non-fiction
Steven  Tyler,7,Non-fiction
Steven  Tyler with David Dalton,1,Non-fiction
Steven Bach,4,Non-fiction
Steven Brill,7,Non-fiction
Steven Callahan,15,Non-fiction
Steven D. Levitt and Step hen J. Dubner,4,Non-fiction
Steven D. Levitt and Steph en J. Dubner,13,Non-fiction
Steven D. Levitt and Stephe n J. Dubner,14,Non-fiction
Steven D. Levitt and Stephen J.  Dubner,30,Non-fiction
Steven D. Levitt and Stephen J. Dubner,81,Non-fiction
Steven Emerson,3,Non-fiction
Steven Gaines,7,Non-fiction
Steven Johnson,4,Non-fiction
Steven Levitsky and Dani el Ziblatt,3,Non-fiction
Steven Levitsky and Danie l Ziblatt,2,Non-fiction
Steven Levitsky and Daniel Ziblatt,1,Non-fiction
Steven M. Gillon,3,Non-fiction
Steven Naifeh and Gregory White Smi th,1,Non-fiction
Steven Naifeh and Gregory White Smit h,1,Non-fiction
Steven Pinke r,1,Non-fiction
Steven Pinker,15,Non-fiction
Steven R. Schirripa  and Charles Fleming,1,Non-fiction
Steven Rowley,1,Fiction
Steven Tyler,6,Non-fiction
Stevie Van Zandt,2,Non-fiction
Stewart Alsop,9,Non-fiction
Stewart Alsop and Thomas Braden,1,Non-fiction
Stewart H. Holbrook,24,Non-fiction
Stewart Hall Hol brook,1,Non-fiction
Stewart Hall Holbrook,2,Non-fiction
Stewart L. Udall,5,Non-fiction
Stewart O'Nan and Stephen King,7,Non-fiction
Stewart O’Nan and Stephen King,1,Non-fiction
Stieg L arsson,60,Fiction
Stieg Larsso n,3,Fiction
Stieg Larsson,40,Fiction
Stieg Larsson ,2,Fiction
Sting,7,Non-fiction
Stone Cold Steve Austin  with Jim (J. R.) Ross as,2,Non-fiction
Stone Cold Steve Austin with Jim (J. R.) Ross as,4,Non-fiction
Storm Jameson,8,Fiction
Stormy Daniels with Kevin Ca rr O'Leary,1,Non-fiction
Stringfellow Barr,4,Fiction
Struthers Burt,5,Fiction
Stuart Chase,1,Non-fiction
Stuart Cloete,18,Non-fiction
Stuart Cloethe,15,Fiction
Stuart David Engstra nd,9,Fiction
Stuart David Engstran d,1,Fiction
Stuart Scott with Larry Pl att,2,Non-fiction
Stuart Scott with Larry Pla tt,2,Non-fiction
Stuart Stevens,2,Non-fiction
Stuart Woods,161,Fiction
Stuart Woods and Parnell Hall,3,Fiction
Stuart Woods and Parnell Hall ,1,Fiction
Studs Terkel,67,Non-fiction
Sue Grafton,155,Fiction
Sue Klebold,4,Non-fiction
Sue Miller,49,Fiction
Sue Miller ,1,Fiction
Sue Monk Kidd,57,Fiction
Sue Monk Kidd an d Ann Kidd Taylor,2,Non-fiction
Suji Kim,1,Fiction
Suleika Jaouad,3,Non-fiction
Sumner Well es,4,Non-fiction
Sumner Welles,29,Non-fiction
Sunny Hostin,2,Fiction
Susan Brownmiller,2,Non-fiction
Susan Cain,22,Non-fiction
Susan Casey,10,Non-fiction
Susan Elia MacNeal,1,Fiction
Susan Elizabeth Phill ips,1,Fiction
Susan Elizabeth Phillip s,2,Fiction
Susan Elizabeth Phillips,6,Fiction
Susan Elizabeth Phillips ,7,Fiction
Susan Ertz,14,Fiction
Susan Faludi,39,Non-fiction
Susan Glaspell,2,Fiction
Susan Hill,1,Fiction
Susan Howatch,72,Fiction
Susan Isaacs,57,Fiction
Susan Jacoby,6,Non-fiction
Susan Lucci with Laura Morton,2,Non-fiction
Susan M. Love w ith Karen Lindsey,1,Non-fiction
Susan M. Love with Karen Lindsey,6,Non-fiction
Susan Magsamen and Ivy Ros s,1,Non-fiction
Susan Mallery,1,Fiction
Susan McDougal w ith Pat Harris,2,Non-fiction
Susan Orlean,19,Non-fiction
Susan Page,8,Non-fiction
Susan Patters on and Susan DiLallo with,2,Fiction
Susan Patterso n and Susan DiLallo with,1,Fiction
Susan Rice,1,Non-fiction
