Author,Number of List Appearances - Author,Genre
Annette Gor don-Reed and Peter,1,Non-fiction
Annette Gordon-Reed,4,Non-fiction
Annie Dillard,22,Non-fiction
Annie Jacobsen,23,Non-fiction
Annie Leibovitz,7,Non-fiction
Annie Liebovitz,2,Non-fiction
Annie Proulx,2,Fiction
Anonymous,47,Fiction
Anonymous (Michael Scheuer),9,Non-fiction
Anonymous (Miles Taylor),7,Non-fiction
Anonymous aka Gladys Huntington,3,Fiction
Ansel Adams with Mary Street Ali nder,2,Non-fiction
Ansel Adams with Mary Street Alin der,4,Non-fiction
Anthony B. Herbert with James T. Wooten ,6,Non-fiction
Anthony Bourdain,28,Non-fiction
Anthony Bourke and J ohn Rendall,3,Non-fiction
Anthony Bourke and Jo hn Rendall,5,Non-fiction
Anthony Cave Brown,1,Non-fiction
Anthony Doerr,154,Fiction
Anthony Eden,2,Non-fiction
Anthony Horowitz,5,Fiction
Anthony Hyde,7,Fiction
Anthony Kiedis with Larry Sloman ,1,Non-fiction
Anthony Marra,1,Fiction
Anthony Ray Hinton with L ara Love Hardin,2,Non-fiction
Anthony Ray Hinton with La ra Love Hardin,3,Non-fiction
Anthony S. Fauci,7,Non-fiction
Anthony Sampson,5,Non-fiction
Anthony Shadid,2,Non-fiction
Anthony Shaffer,1,Non-fiction
Anthony Summers,20,Non-fiction
Anthony Summers and Robbyn  Swan,2,Non-fiction
Anthony Summers with Robbyn Swan,1,Non-fiction
Anthony Swofford,9,Non-fiction
Anthony Veasna So,1,Fiction
Anthony West,7,Fiction
Antoine St. Exupery,27,Non-fiction
Antoinette  and Francois,2,Non-fiction
Antoinette Giancana and Thoma s C. Renner,5,Non-fiction
Antoinette Giancana and Thomas  C. Renner,4,Non-fiction
Anton Myrer,25,Fiction
Antonia Fraser,63,Non-fiction
Antonia Hylton,3,Non-fiction
Antonin Scalia. Edited by Chri stopher J. Scalia and Edward,1,Non-fiction
Antonine de St. Exupery,12,Non-fiction
Antwone Quenton Fisher with Mim  Eichler Rivas,1,Non-fiction
Anya Seton,147,Fiction
Archie Binns,1,Fiction
Aretha Franklin and  David Ritz,1,Non-fiction
Ari Fleischer,3,Non-fiction
Ari Shapiro,1,Non-fiction
Ari Shavit,6,Non-fiction
Ariana Neumann,1,Non-fiction
Arianna Huffington,24,Non-fiction
Arianna Stassinopoulos,14,Non-fiction
Arianna Stassinopoulos Huffington,10,Non-fiction
Arkady  N. Shevchenko,1,Non-fiction
Arkady N. Shevchenko,23,Non-fiction
Arlene Francis,2,Non-fiction
Arlie Russell Ho chschild,2,Non-fiction
Armand Hammer with Neil Lyndon,18,Non-fiction
Armistead Maupin,4,Fiction
Arnaud de Borchgrave and Robert Mo ss,5,Fiction
Arnaud de Borchgrave and Robert Mos s,16,Fiction
Arno ld Schwarzenegger and,11,Non-fiction
Arnold J. Toynbee,24,Non-fiction
Arnold Jose ph Toynbee,11,Non-fiction
Arnold L. Hasket,1,Non-fiction
Arnold Palmer,5,Non-fiction
Arnold Palmer with James Dod son,1,Non-fiction
Arnold Schwar zenegger with,1,Non-fiction
Arnold Schwarzenegger with Peter  Petre,2,Non-fiction
Arnold Toynbee,75,Non-fiction
Aron Ralston,5,Non-fiction
Aron Ralston ,1,Non-fiction
Art,7,Non-fiction
Art Bell and Wh itley Strieber,1,Non-fiction
Art Buchwald,43,Non-fiction
Art Linkletter,62,Non-fiction
Art Linkletter ,6,Non-fiction
Art Linkletter. 7 42,1,Non-fiction
Art Spiegelman,17,Non-fiction
Arthemise Goertz,6,Fiction
Arthur  H,3,Non-fiction
Arthur Ashe and Arnold Rampers ad,8,Non-fiction
Arthur Ashe and Arnold Rampersa d,8,Non-fiction
"Arthur B . Tourtellot, editor",5,Non-fiction
Arthur Bliss Lane,8,Non-fiction
Arthur Bryant,19,Non-fiction
Arthur C. Brooks,16,Non-fiction
Arthur C. Clarke,57,Fiction
Arthur C. Clarke and Gent ry Lee,4,Fiction
Arthur C. Clarke and Gentry Le e,6,Fiction
Arthur E. Hertzler ,25,Non-fiction
Arthur Golden,62,Fiction
Arthur Gordon,5,Fiction
Arthur Guptill,1,Non-fiction
Arthur H. Lewi s,18,Non-fiction
Arthur Hailey,216,Fiction
Arthur Kallet,1,Non-fiction
Arthur Kallet and F. J. S chlink,12,Non-fiction
Arthur Koestler,28,Fiction
"Arthur Koestler, Ignazio Si lone, Richard Wright and",5,Non-fiction
Arthur Krock,21,Non-fiction
Arthur Larson,8,Non-fiction
Arthur Levitt with Paula D wyer,2,Non-fiction
Arthur Levitt with Paula Dwyer,1,Non-fiction
"Arthur M. Schle singer, Jr",8,Non-fiction
"Arthur M. Schles inger, Jr",1,Non-fiction
Arthur M. Schlesin ger Jr,4,Non-fiction
Arthur M. Schlesing er Jr,5,Non-fiction
Arthur M. Schlesinger Jr,56,Non-fiction
Arthur Meeker,14,Fiction
Arthur Meier,8,Non-fiction
Arthur Meier Schlesi nger Jr,12,Non-fiction
Arthur Meier Schlesinger Jr ,1,Non-fiction
Arthur Miller,6,Non-fiction
Arthur Mizener,16,Non-fiction
Arthur Quiller-Couch and Daphne du M aurier,2,Fiction
Arthur Rubinstein,18,Non-fiction
Arthur Schlesinger,33,Non-fiction
Arthur Weinberg,20,Non-fiction
Arthur and Barbara Gelb,9,Non-fiction
Artie Lange with Anthony Boz za,4,Non-fiction
Artie Lange with Anthony Bozz a,11,Non-fiction
Arundhati R oy,3,Fiction
Arundhati Ro y,1,Fiction
Arundhati Roy,31,Fiction
Arvid Fredborg,1,Non-fiction
Asha Lemmie,1,Fiction
Ashlee Vance,15,Non-fiction
Ashley Audrain,3,Fiction
Ashley C. Ford,3,Non-fiction
Ashley Elston,16,Fiction
Ashley Flowers with Ale x Kiester,3,Fiction
Ashley Flowers with Alex  Kiester,6,Fiction
Ashley Judd wit h Maryanne Vollers,1,Non-fiction
Ashley Judd with  Maryanne Vollers,4,Non-fiction
Ashley Montagu,5,Non-fiction
